,group,names,scores,logfoldchanges,pvals,pvals_adj
854,4,CD81,16.947847,0.5301183,1.996285049406783e-64,9.415811149701992e-63
855,4,IgM,15.621118,0.7045311,5.22812865538386e-55,2.113657727819475e-53
856,4,CD55,15.317182,0.9273503,5.870856530477621e-53,2.0768154976564584e-51
857,4,CD73,14.23675,0.98731756,5.4189490044607026e-46,1.3941477893294353e-44
858,4,CD171,13.355616,1.0258642,1.098458203381821e-40,2.3912590119773487e-39
861,4,CD23,10.530892,0.6128855,6.224176133048052e-26,8.807209228262993e-25
866,4,CD146,7.653107,0.5013306,1.9617994937356133e-14,1.2911378063422758e-13
1132,5,CD3,23.851097,1.0139191,9.864620247837282e-126,1.3958437650689753e-123
1133,5,CD90,20.963032,0.61252666,1.4270231476773223e-97,1.3461585026422738e-95
1134,5,CD49a,19.29093,0.83390146,6.401105767506183e-83,4.528782330510624e-81
1135,5,CD5,17.006792,0.983193,7.313325299016349e-65,3.4494517660360446e-63
1138,5,CD152,16.316774,0.63184273,7.499553697328248e-60,2.122373696343894e-58
1139,5,CD4,15.706697,0.8343607,1.3608578390089075e-55,3.209356403662673e-54
1140,5,CD28,15.232719,0.8366205,2.144822033078327e-52,4.669112579701281e-51
1142,5,CD123,14.84365,0.8448282,7.647873320455751e-50,1.4428987664593184e-48
1144,5,CD314,14.267801,0.70134765,3.4735995561974356e-46,5.782521614140437e-45
1145,5,CD45RB,13.961547,0.9103969,2.675645329890003e-44,4.206709046438172e-43
1153,5,CD101,12.725479,0.66317385,4.2684686805456304e-37,4.473987542942272e-36
1157,5,CD7,12.244743,1.2397491,1.7924285745786438e-34,1.5851790206429883e-33
1163,5,CD305,10.762429,0.64902973,5.178662769139169e-27,3.663903909165962e-26
1164,5,CD2,10.758037,0.9377195,5.43148196448674e-27,3.749047307194506e-26
1165,5,human_mouse-1,10.546186,0.5869553,5.290108139519049e-26,3.564525246390216e-25
1169,5,CD45,9.553933,0.5622737,1.2486340218006602e-21,7.067268563391737e-21
1177,5,CD48,8.527825,0.6755258,1.491247265037623e-17,7.152931796705887e-17
1184,5,CD43,8.049725,0.5904961,8.298047823590605e-16,3.5049963195166285e-15
1191,5,CD69,7.574091,0.5305751,3.61651447981699e-14,1.364631463717611e-13
1192,5,CD13,7.5318556,0.5560971,5.002419881211785e-14,1.862743192609125e-13
1206,5,CD126,6.700772,0.61064607,2.0732142327629462e-11,6.377387259477324e-11
1209,5,CD56,6.5736275,0.5052065,4.910395098745352e-11,1.4475435551509734e-10
1213,5,CD162,6.418169,0.5844499,1.3792314884707685e-10,3.8645793191804703e-10
1214,5,CLEC12A,6.362385,0.5312674,1.9864485147397047e-10,5.511420879130749e-10
1242,5,CD8,4.5101256,0.6015897,6.478917858059713e-06,1.3190890315330207e-05
1274,5,CD11a,3.2640576,0.65094614,0.0010982884428574406,0.0017760893104494613
1301,5,human_mouse-2,2.3128574,1.146406,0.02073048470695852,0.02820541909648683
1415,6,Podoplanin,9.166141,0.56719893,4.90257360074141e-20,6.9371416450490946e-18
1416,6,CD49a,9.017009,0.70670325,1.9329457140400077e-19,1.8234121235777405e-17
1417,6,CD123,8.887615,0.82181394,6.243436968230695e-19,4.4172316550232166e-17
1418,6,CD72,8.558293,0.53451324,1.14550962579345e-17,5.402987068325772e-16
1426,6,CD56,5.082922,0.6654272,3.716724045545005e-07,5.8435161382735365e-06
1698,7,CD271,25.588999,1.4835612,2.0225518218286998e-144,5.7238216557752204e-142
1699,7,CD106,25.209162,1.6528246,3.1784843481050773e-140,4.497555352568684e-138
1700,7,CD55,24.655375,1.9427371,3.2227600384401883e-134,2.2801027271964333e-132
1701,7,CD73,22.36184,1.7173092,9.26171860392933e-111,5.242132729824e-109
1702,7,CD81,21.429352,0.83595765,7.1163656373713105e-102,3.3565524589601344e-100
1703,7,CD82,21.365187,1.1226243,2.8172982060663862e-101,1.090365621877575e-99
1704,7,CD35,21.360987,1.0642492,3.082305644883604e-101,1.090365621877575e-99
1705,7,CD21,20.205166,0.84389013,8.817448251448092e-91,2.49533785515981e-89
1706,7,CD10,19.995258,1.4449915,6.056467812034793e-89,1.5581639916416787e-87
1707,7,IgM,18.89783,0.91446406,1.1884329642760665e-79,2.8027210740843897e-78
1708,7,CD23,18.615402,1.1823434,2.4104633560447007e-77,5.247393305851156e-76
1710,7,CD38,16.320728,0.59870684,7.02912580827524e-60,1.3261617358279284e-58
1711,7,CD146,15.125716,0.9553772,1.0960148699472276e-51,1.4770105152145971e-50
1712,7,CD63,14.318981,0.5422622,1.6654701896593684e-46,1.8128002448984663e-45
1713,7,CD171,13.653875,1.1787707,1.9142244213240024e-42,1.934733968695331e-41
1716,7,CD9,11.829623,0.61495894,2.743711134410275e-32,2.09856824604894e-31
1717,7,GP130,10.131779,0.58109623,3.993182504637278e-24,2.5683423836644312e-23
1718,7,CD137,9.922834,1.0500451,3.3121511110865435e-23,2.0376929661684605e-22
1719,7,CD370,8.634131,0.59271955,5.917509256386844e-18,3.044827490104503e-17
1720,7,CD273,7.880277,0.8252784,3.266555056338284e-15,1.3397609868749773e-14
1721,7,CD14,7.793279,0.82653064,6.5292257603065085e-15,2.6024942115024534e-14
1722,7,CD59,7.6418085,0.55679244,2.1419186297906552e-14,8.191391516631829e-14
1981,8,CD90,15.204357,0.8008234,3.308604002551686e-52,9.363349327221271e-50
1982,8,CD206,14.000247,1.3875304,1.5532953932359406e-44,2.197912981428856e-42
1983,8,CD49a,11.487654,0.8676587,1.5218851427097424e-30,1.4356449846228568e-28
1984,8,CD29,10.552525,0.66034865,4.9450452779800397e-26,3.498619534170878e-24
1985,8,CD169,9.735312,0.7125174,2.1316170273087824e-22,1.0054126978806422e-20
1987,8,CD3,7.944664,0.51134044,1.947181647420596e-15,6.122804513555874e-14
1991,8,CD304,6.6332946,0.92298454,3.2827625098784206e-11,5.587486058381523e-10
1993,8,CD117,6.606535,0.7249177,3.934190225634792e-11,6.185421299192479e-10
1994,8,CD146,6.529533,0.57429785,6.597512721299103e-11,9.335480500638231e-10
1995,8,CD162,6.118595,0.8029031,9.440382164656178e-10,1.1615774576511734e-08
1997,8,CD33,5.3819942,0.6419676,7.366506165725515e-08,7.445433017501146e-07
1999,8,CD31,5.0728197,0.6911465,3.9196394909369683e-07,3.5782515352747162e-06
2001,8,CLEC12A,4.441146,0.5681227,8.948102780643501e-06,6.663981807689764e-05
2004,8,CD7,4.0313745,0.6746071,5.545164196899587e-05,0.0003487292150494629
