group,names,scores,logfoldchanges,pvals,pvals_adj
2,Gabrb1,11.331519,1.2950609,9.160191800632883e-30,4.433828321564401e-28
2,Gm20754,11.322303,1.2778087,1.0176285730598084e-29,4.84746563135315e-28
2,Cntn1,11.316319,1.3227652,1.0895126642911843e-29,5.108792977402881e-28
2,Usp29,11.274955,1.057375,1.7446754394576268e-29,8.055032298172828e-28
2,Tmeff2,10.953653,1.1760468,6.38204610245535e-28,2.736074336209786e-26
2,Epha6,10.890625,1.1585541,1.2776066812084305e-27,5.400137535642958e-26
2,Zfp804b,10.821699,1.2092509,2.7169167187770306e-27,1.1169132976780642e-25
2,Chl1,10.711673,1.0538173,8.97259112129679e-27,3.6387494533799548e-25
2,Grm8,10.692323,1.1904413,1.1056661429884307e-26,4.424138793477708e-25
2,Ntng1,10.478733,1.0309455,1.0818309610225786e-25,4.162275274395844e-24
2,Cntn4,10.389148,1.0772116,2.7782413682476355e-25,1.0421877932638942e-23
2,Galnt13,10.377529,1.2432353,3.1379096134639876e-25,1.1625761419759786e-23
2,Olfm3,10.127599,1.3679173,4.1675770371589936e-24,1.4713998457075459e-22
2,Atp1a3,9.97267,1.1913072,2.0075817436939e-23,6.925003233132636e-22
2,Vwc2l,9.952927,1.4789534,2.4487274223245334e-23,8.25688875774823e-22
2,Spock3,9.911388,1.2018162,3.7144767009738587e-23,1.2249609428156648e-21
2,5330434G04Rik,9.831937,1.2392721,8.202597257543954e-23,2.6187228053073833e-21
2,Nalcn,9.757114,1.2192152,1.7197832876138788e-22,5.376114214717969e-21
2,Ryr2,9.7466755,1.1718754,1.9060819595802577e-22,5.897063877010674e-21
2,Ly6h,9.712649,1.2203776,2.6632216493625987e-22,8.073058757310261e-21
2,Scn9a,9.697755,1.3318759,3.082047964872555e-22,9.249225942582536e-21
2,Ccdc85a,9.6458645,1.2140123,5.117803450054276e-22,1.5206463518428594e-20
2,Sntg1,9.623414,1.1292679,6.3681851071709e-22,1.873619951629399e-20
2,C1qtnf4,9.579648,1.3452786,9.73766680148839e-22,2.837159036045307e-20
2,Nell1,9.531775,1.149146,1.5461583790079848e-21,4.461558937887464e-20
2,Vstm2l,9.528193,1.271266,1.6004336010520793e-21,4.5741916540545624e-20
2,Pcdh10,9.50583,1.2292793,1.9845846256538815e-21,5.618621190176696e-20
2,Unc13c,9.501201,1.2137141,2.0748471153179678e-21,5.81926747015815e-20
2,Pou2f2,9.290581,1.0730169,1.534486055485914e-20,4.1863569568302075e-19
2,Pcsk1n,9.235895,1.1226935,2.5613581969707243e-20,6.924897251449679e-19
2,A230006K03Rik,9.22349,1.3737162,2.8758384912344546e-20,7.705706528745177e-19
2,Rgs7,9.209819,1.105681,3.266764128141441e-20,8.675716060665898e-19
2,Pclo,9.180379,1.0074556,4.295764637876231e-20,1.1308411998479446e-18
2,Gabrg3,9.128925,1.0036286,6.918258104714611e-20,1.805364571499874e-18
2,Cntnap5b,9.095991,1.1160324,9.372729786060494e-20,2.424789835169616e-18
2,Tafa1,9.042179,1.0190066,1.5357909619271383e-19,3.93923818525072e-18
2,Pcdh11x,8.92774,1.1318,4.347978871519632e-19,1.1057868299517302e-17
2,Snap91,8.846804,1.1092038,9.006166324065136e-19,2.271218919203317e-17
2,Gpr158,8.835796,1.1561958,9.938750371065799e-19,2.4855158219640384e-17
2,Tmem130,8.800722,1.1453205,1.3593818873355372e-18,3.371491771813179e-17
2,Kcnip1,8.756083,1.0235989,2.0215352225568508e-18,4.9726452482730405e-17
2,Rac3,8.73005,1.1842316,2.545599685816783e-18,6.21084931474485e-17
2,Cntnap4,8.711617,1.0830656,2.9956888633832936e-18,7.250050225010697e-17
2,Cdh10,8.649637,1.0430001,5.1663383272430475e-18,1.2304905809568558e-16
2,Eml6,8.601285,1.0290948,7.88286254312873e-18,1.8627142119629384e-16
2,Lhx1os,8.5881815,1.415416,8.835691998543398e-18,2.071555600595995e-16
2,Gm28905,8.585648,1.5164684,9.032605023015783e-18,2.1013060212457645e-16
2,Nyap2,8.5397415,1.0594686,1.3452272582360917e-17,3.1054053861280857e-16
2,Garnl3,8.516809,1.051537,1.6400846031454293e-17,3.7006721007815287e-16
2,Gm32647,8.437708,1.0620799,3.236224530800898e-17,7.141110159509922e-16
2,Kctd16,8.424779,1.062113,3.6143336366205205e-17,7.917237404013272e-16
2,Grin3a,8.3933735,1.1264993,4.723883317736201e-17,1.0198830098220389e-15
2,Gabra3,8.366293,1.1660044,5.945948938713972e-17,1.2745566260771878e-15
2,Klhl1,8.330083,1.3143346,8.078588747580134e-17,1.7194216192544666e-15
2,Grin1,8.287321,1.1842215,1.1582761414929088e-16,2.43075993050365e-15
2,Ablim3,8.220842,1.0545974,2.0207953141605178e-16,4.1823494743418714e-15
2,Trhde,8.210839,1.073887,2.1964744768873694e-16,4.514808154204792e-15
2,Scn2a,8.203458,1.0600325,2.3356985441587275e-16,4.7395465790121845e-15
2,Amph,8.20337,1.0696933,2.3373971799193714e-16,4.7395465790121845e-15
2,Il1rapl2,8.185287,1.0116206,2.7165478543979786e-16,5.471382624864653e-15
2,Chrm3,8.128461,1.0183516,4.3477458472660914e-16,8.583937689240487e-15
2,Caly,8.107714,1.4978563,5.158112149154348e-16,1.0117316705628888e-14
2,Svop,8.008169,1.0080062,1.16428342635149e-15,2.239752924667193e-14
2,Grm1,7.964447,1.1403012,1.6596431466839797e-15,3.152271571644698e-14
2,Scn3b,7.872066,1.0016938,3.4883149199861697e-15,6.461995725233639e-14
2,Brinp1,7.852629,1.0276076,4.0740514857021435e-15,7.500753686252842e-14
2,Pou6f2,7.832362,1.1373363,4.7878817015445105e-15,8.708141203839441e-14
2,Tmem132d,7.8202195,1.0001632,5.2731353637348245e-15,9.532939293113379e-14
2,Ndst4,7.787242,1.1664646,6.848778026134768e-15,1.2307295123611042e-13
2,Zmat4,7.599903,1.0397322,2.963522926650858e-14,5.05314335390865e-13
2,Cntn3,7.5928273,1.0278417,3.1299972616790515e-14,5.306848464575613e-13
2,9530059O14Rik,7.5895514,1.0103121,3.2101508725067e-14,5.412170094602589e-13
2,Lin7a,7.563213,1.0587786,3.9323294836455935e-14,6.413543902402406e-13
2,B130024G19Rik,7.4678183,1.2141927,8.153529143560232e-14,1.2946423788266803e-12
2,Lin28b,7.4506965,1.0646373,9.284892184529098e-14,1.4665242866195696e-12
2,Gm45323,7.428245,1.4328339,1.1004773524421843e-13,1.7200690284786432e-12
2,Rnf152,7.4021254,1.0409027,1.3402190286741302e-13,2.0731944871397242e-12
2,Clstn3,7.325731,1.1220638,2.375999374114233e-13,3.637945980467762e-12
2,Frmd3,7.32429,1.0317658,2.4016751470515144e-13,3.6585924448231445e-12
2,Slc6a11,7.2643185,1.1697519,3.7492354942243397e-13,5.57002758325111e-12
2,Onecut2,7.230817,1.0160551,4.800974451043021e-13,6.994040935718499e-12
2,Sptbn4,7.1068997,1.0453737,1.1867841774526425e-12,1.6879333253722182e-11
2,Phyhipl,7.0539174,1.2054876,1.7394957186423562e-12,2.4190497729885505e-11
2,Gm16083,7.0512967,1.153935,1.772580179871073e-12,2.451388534466862e-11
2,Slc9a7,6.992374,1.22122,2.7027329554122983e-12,3.604845155196581e-11
2,Pcdh19,6.9873943,1.0191672,2.8003786525293053e-12,3.7185559009913474e-11
2,Cabp1,6.8119364,1.0755935,9.629355353490975e-12,1.2040706423261005e-10
2,Slc32a1,6.678192,1.3083405,2.419081174316009e-11,2.927283308113848e-10
2,2700069I18Rik,6.6562653,1.0732446,2.8087339077691044e-11,3.3581714968984393e-10
2,Pacsin1,6.6108828,1.0235928,3.8203487060806407e-11,4.4784634636515636e-10
2,Ptprr,6.5584683,1.0635642,5.436330922112411e-11,6.299007373459206e-10
2,Epha10,6.4633794,1.2547435,1.0239021997338701e-10,1.1595209439250355e-09
2,Atp1b1,6.4262958,1.0500295,1.3075074261580985e-10,1.4641155917539005e-09
2,Grin2d,6.3791666,1.0404631,1.7805443784381774e-10,1.957294388165923e-09
2,Gm45341,6.2832475,1.2940707,3.315721906597312e-10,3.5537433720351903e-09
2,Bc1,6.078962,1.631525,1.2096328884733713e-09,1.2347307137104038e-08
2,C78859,5.993395,1.5425704,2.0550518154530276e-09,2.042122681514747e-08
2,Map7d2,5.941548,1.3100653,2.8234312485827787e-09,2.7689925415022614e-08
2,Slc7a14,5.8232656,1.025759,5.7708734133668774e-09,5.4289627315090905e-08
2,Slc6a7,5.7849593,1.277896,7.25299161631602e-09,6.683699943309762e-08
2,Rasgrf2,5.5471277,1.1227291,2.9040040914078388e-08,2.548221134010212e-07
2,Frrs1l,5.368438,1.0720311,7.942164769130258e-08,6.695066424764018e-07
2,Minar2,5.3031816,1.0351036,1.1380172760531201e-07,9.408236488802792e-07
2,Gata3,4.996818,1.1517051,5.82840613745702e-07,4.473413508569953e-06
2,Coro2a,4.9036946,1.0691448,9.405069697832376e-07,7.073838136139088e-06
2,AW551984,4.7044754,1.0565922,2.5451970206660068e-06,1.7640037549696734e-05
2,Lhx1,4.6286926,1.110794,3.679817788743825e-06,2.4816029627011728e-05
